original,simplification,original_id,simplification_id,pair_id,domain,corpus,language_level_original,language_level_simple,license,author,simple_url,complex_url,simple_title,complex_title,access_date,rater,alignment,malformed_complex,malformed_simple,duration_rating,ambiguity_original,ambiguity_simple,coherence_original,coherence_simple,grammaticality_original,grammaticality_simple,information_gain,lexical_simplicity,meaning_preservation,simplicity,simplicity_original,simplicity_simple,structural_simplicity,paragraph#,paragraph#deletion*,paragraph#insert*,paragraph#insert*examplification+,paragraph#insert*explanation+,paragraph#insert*other+,paragraph#merge*,paragraph#reorder*,paragraph#reorder*other+,paragraph#reorder*sentence-order-changed+,phrase#,phrase#deletion*,phrase#deletion*clause+,phrase#deletion*less_adjunct_phrase+,phrase#deletion*other+,phrase#deletion*phrase+,phrase#deletion*replace+,phrase#insert*,phrase#insert*clause+,phrase#insert*other+,phrase#insert*phrase+,phrase#reorder*,phrase#reorder*discontinuity_resolution+,phrase#reorder*other+,phrase#rephrase*,sentence#,sentence#lexical_substitution*,sentence#lexical_substitution*other+,sentence#lexical_substitution*verbalization+,sentence#no_operation*,sentence#reorder*,sentence#reorder*genitive_to_dative+,sentence#reorder*negative_to_positive+,sentence#reorder*other+,sentence#reorder*subject-verb-reorder+,sentence#rephrase*,sentence#split*,sentence#split*adverbial_clause+,sentence#split*appositive_phrase+,sentence#split*coordinate_clause+,sentence#split*other+,sentence#split*relative_clause+,sentence#split*subordinate_clause+,sentence#verbal_changes*,sentence#verbal_changes*other+,sentence#verbal_changes*verb_mood+,sentence#verbal_changes*verb_tense+,sentence#verbal_changes*voice_of_verb+,word#,word#deletion*,word#deletion*abbreviations+,word#deletion*discourse_markers+,word#deletion*filler_words+,word#deletion*other+,word#inflection*,word#insert*,word#insert*ellipsis_filled+,word#insert*other+,word#lexical_substitution*,word#lexical_substitution*abbreviation+,word#lexical_substitution*anaphora+,word#lexical_substitution*compound_segmentation+,word#lexical_substitution*date+,word#lexical_substitution*hypernym+,word#lexical_substitution*hyponym+,word#lexical_substitution*metaphor_resolution+,word#lexical_substitution*more_frequent_word+,word#lexical_substitution*nominalization+,word#lexical_substitution*number+,word#lexical_substitution*other+,word#lexical_substitution*shorter_word+,word#lexical_substitution*synonym+
"Gott erschuf die großen Meereslebewesen und all die verschiedenen Lebewesen, die im Wasser schwärmen und all die verschiedenen geflügelten Tiere.",Und so geschah es: Da gab es große Lebe·wesen im Meer. Viele Fische und andere Meeres·wesen. Und viele verschiedene Vögel am Himmel.,33-1-5-1,33-0-65-0|33-0-66-0|33-0-67-0,33,bible,bible_verified,c2,a1,CC_BY_SA_3, Offene Bibel e.V. - offene-bibel.de,https://offene-bibel.de/wiki/Genesis_1_in_Leichter_Sprache,https://offene-bibel.de/wiki/Genesis_1,Genesis_1_in_Leichter_Sprache,Genesis_1,2021-01-08,2,1:3,0,0,0 days 00:00:00,1.0,1.0,5.0,3.0,2.0,2.0,-2.0,0.0,3.0,1.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Im Anfang von Gottes Schöpfung von Himmel und Erde war die Erde nicht und nichts: Dunkelheit war über der Oberfläche der Tiefe und ein Wind Gottes stürmte über der Oberfläche des Wassers.,So hat Gott die Welt gemacht: Am Anfang gab es die Erde noch nicht. Es gab nur Wasser und Dunkelheit. Es war dunkel über dem Wasser. Gott war ein Sturm. Der Sturm fegte über dem Wasser.,33-1-0-0,33-0-0-0|33-0-1-0|33-0-2-0|33-0-3-0|33-0-4-0|33-0-5-0,33,bible,bible_verified,c2,a1,CC_BY_SA_3, Offene Bibel e.V. - offene-bibel.de,https://offene-bibel.de/wiki/Genesis_1_in_Leichter_Sprache,https://offene-bibel.de/wiki/Genesis_1,Genesis_1_in_Leichter_Sprache,Genesis_1,2021-01-08,2,1:6,0,0,0 days 00:00:00,1.0,1.0,5.0,5.0,0.0,2.0,0.0,2.0,5.0,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Es wurde Abend und es wurde Morgen: Ein „Tag “.,Es wurde Abend. Und es wurde Tag: Der 1. Tag war zu Ende.,33-1-1-5,33-0-12-0|33-0-13-0,33,bible,bible_verified,c2,a1,CC_BY_SA_3, Offene Bibel e.V. - offene-bibel.de,https://offene-bibel.de/wiki/Genesis_1_in_Leichter_Sprache,https://offene-bibel.de/wiki/Genesis_1,Genesis_1_in_Leichter_Sprache,Genesis_1,2021-01-08,2,1:2,0,0,0 days 00:00:00,1.0,1.0,3.0,3.0,2.0,2.0,1.0,0.0,5.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Es wurde Abend und es wurde Morgen: Ein zweiter Tag.,Es wurde Abend. Und es wurde Morgen: Der 2. Tag war zu Ende.,33-1-2-5,33-0-20-0|33-0-21-0|33-0-22-0,33,bible,bible_verified,c2,a1,CC_BY_SA_3, Offene Bibel e.V. - offene-bibel.de,https://offene-bibel.de/wiki/Genesis_1_in_Leichter_Sprache,https://offene-bibel.de/wiki/Genesis_1,Genesis_1_in_Leichter_Sprache,Genesis_1,2021-01-08,2,1:3,0,0,0 days 00:00:00,1.0,1.0,4.0,4.0,2.0,2.0,1.0,0.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Gott nannte das Schalenförmige „Himmel “.,Gott sagte: Himmel.,33-1-2-4,33-0-18-0,33,bible,bible_verified,c2,a1,CC_BY_SA_3, Offene Bibel e.V. - offene-bibel.de,https://offene-bibel.de/wiki/Genesis_1_in_Leichter_Sprache,https://offene-bibel.de/wiki/Genesis_1,Genesis_1_in_Leichter_Sprache,Genesis_1,2021-01-08,2,1:1,0,0,0 days 00:00:00,1.0,1.0,3.0,5.0,2.0,2.0,-2.0,2.0,2.0,2.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
So geschah es.,Die Schale ist der Himmel.,33-1-2-3,33-0-19-0,33,bible,bible_verified,c2,a1,CC_BY_SA_3, Offene Bibel e.V. - offene-bibel.de,https://offene-bibel.de/wiki/Genesis_1_in_Leichter_Sprache,https://offene-bibel.de/wiki/Genesis_1,Genesis_1_in_Leichter_Sprache,Genesis_1,2021-01-08,2,1:1,0,0,0 days 00:00:00,1.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dann sprach Gott: Das Wasser soll sich von unter dem Himmel weg an einen Ort sammeln und Trockenes soll zum Vorschein kommen.,Da sagte Gott: Das Wasser unter dem Himmel soll sich sammeln. Das Wasser soll eine Stelle frei lassen. Die Stelle soll trocken sein.,33-1-3-0,33-0-23-0|33-0-24-0|33-0-25-0,33,bible,bible_verified,c2,a1,CC_BY_SA_3, Offene Bibel e.V. - offene-bibel.de,https://offene-bibel.de/wiki/Genesis_1_in_Leichter_Sprache,https://offene-bibel.de/wiki/Genesis_1,Genesis_1_in_Leichter_Sprache,Genesis_1,2021-01-08,2,1:3,0,0,0 days 00:00:00,1.0,1.0,4.0,4.0,2.0,2.0,1.0,1.0,5.0,2.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Es wurde Abend und es wurde Morgen:,Es wurde Abend. Und es wurde Morgen:,33-1-6-13,33-0-98-0|33-0-99-0,33,bible,bible_verified,c2,a1,CC_BY_SA_3, Offene Bibel e.V. - offene-bibel.de,https://offene-bibel.de/wiki/Genesis_1_in_Leichter_Sprache,https://offene-bibel.de/wiki/Genesis_1,Genesis_1_in_Leichter_Sprache,Genesis_1,2021-01-08,2,1:2,0,0,0 days 00:00:00,1.0,1.0,3.0,3.0,1.0,1.0,0.0,0.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Erfreue uns so viele Tage, wie du uns bedrückt hast, so viele Jahre, wie wir Unglück gesehen haben!",Schenke uns Freude. Wir hatten Sorgen. Schenke uns genau so viel Freude.,34-1-2-5,34-0-17-0|34-0-17-1|34-0-17-2,34,bible,bible_verified,c2,a1,CC_BY_SA_3, Offene Bibel e.V. - offene-bibel.de,https://offene-bibel.de/wiki/Psalm_90_in_Leichter_Sprache_gepr%C3%BCft,https://offene-bibel.de/wiki/Psalm_90,Psalm_90_in_Leichter_Sprache_gepr%C3%BCft,Psalm_90,2021-01-08,2,1:3,0,0,0 days 00:00:00,1.0,1.0,1.0,1.0,2.0,2.0,-1.0,2.0,5.0,2.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Es wurde Abend und es wurde Morgen: Ein dritter Tag.,Es wurde Abend. Und es wurde Morgen: Der 3. Tag war zu Ende.,33-1-3-8,33-0-41-0|33-0-42-0|33-0-43-0,33,bible,bible_verified,c2,a1,CC_BY_SA_3, Offene Bibel e.V. - offene-bibel.de,https://offene-bibel.de/wiki/Genesis_1_in_Leichter_Sprache,https://offene-bibel.de/wiki/Genesis_1,Genesis_1_in_Leichter_Sprache,Genesis_1,2021-01-08,2,1:3,0,0,0 days 00:00:00,1.0,1.0,3.0,3.0,2.0,2.0,1.0,0.0,5.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Da starb Elimelech, der Mann Noomis, und sie hinterblieb, sie und ihre beiden Söhne.",Da stirbt Elimelech. Noomi bleibt alleine mit den beiden Söhnen.,35-1-0-5,35-0-14-0|35-0-15-0,35,bible,bible_verified,c2,a1,CC_BY_SA_3, Offene Bibel e.V. - offene-bibel.de,"https://offene-bibel.de/wiki/Rut_1,1-6_in_Leichter_Sprache",https://offene-bibel.de/wiki/Rut_1,"Rut_1,1-6_in_Leichter_Sprache",Rut_1,2021-01-08,2,1:2,0,0,0 days 00:00:00,1.0,1.0,3.0,3.0,2.0,2.0,-1.0,1.0,5.0,1.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gott machte die beiden großen Lichter: das größere Licht zur Herrschaft über den Tag und das kleinere Licht zur Herrschaft über die Nacht; auch die Sterne.,Gott machte 2 große Lichter: Das große Licht war für den Tag. Wir nennen das Licht Sonne. Das kleine Licht war für die Nacht. Wir nennen das Licht Mond. Gott machte auch die Sterne.,33-1-4-3,33-0-50-0|33-0-51-0|33-0-52-0|33-0-53-0|33-0-54-0|33-0-55-0,33,bible,bible_verified,c2,a1,CC_BY_SA_3, Offene Bibel e.V. - offene-bibel.de,https://offene-bibel.de/wiki/Genesis_1_in_Leichter_Sprache,https://offene-bibel.de/wiki/Genesis_1,Genesis_1_in_Leichter_Sprache,Genesis_1,2021-01-08,2,1:6,0,0,0 days 00:00:00,1.0,1.0,3.0,5.0,1.0,2.0,1.0,1.0,4.0,2.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Und Gott segnete sie folgendermaßen: „Seid fruchtbar und vermehrt euch und füllt das Wasser im Meer, und die Vögel sollen sich über der Erde vermehren! “",Gott segnete alle Lebe·wesen: Seid fruchtbar und vermehrt euch. Ich möchte viele Tiere im Meer und viele Vögel auf dem Land.,33-1-5-3,33-0-69-0|33-0-70-0,33,bible,bible_verified,c2,a1,CC_BY_SA_3, Offene Bibel e.V. - offene-bibel.de,https://offene-bibel.de/wiki/Genesis_1_in_Leichter_Sprache,https://offene-bibel.de/wiki/Genesis_1,Genesis_1_in_Leichter_Sprache,Genesis_1,2021-01-08,2,1:2,0,0,0 days 00:00:00,1.0,1.0,3.0,5.0,2.0,2.0,0.0,0.0,5.0,1.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dann sprach Gott: Das Wasser soll schwärmen mit Schwärmen lebendiger Wesen und Vögel sollen über der Erde unter dem Schalenförmigen des Himmels fliegen.,Gott sagte: Ich möchte Leben im Wasser: Ich möchte Fische·Schwärme. Und ich möchte Vögel am Himmel.,33-1-5-0,33-0-63-0|33-0-64-0,33,bible,bible_verified,c2,a1,CC_BY_SA_3, Offene Bibel e.V. - offene-bibel.de,https://offene-bibel.de/wiki/Genesis_1_in_Leichter_Sprache,https://offene-bibel.de/wiki/Genesis_1,Genesis_1_in_Leichter_Sprache,Genesis_1,2021-01-08,2,1:2,0,0,0 days 00:00:00,1.0,1.0,4.0,5.0,2.0,1.0,-1.0,1.0,5.0,2.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Dann sprach Gott: Die Erde soll verschiedenste Arten von Lebewesen hervorbringen: Verschiedenste Arten von Vieh, Reptilien und wilden Tieren.","Gott sagte: Ich möchte Tiere auf der Erde. Alle Arten: • Nutz·tiere, • wilde Tiere und • Reptilien. _Reptilien sind zum Beispiel Schlangen.",33-1-6-0,33-0-74-0|33-0-75-0|33-0-76-0,33,bible,bible_verified,c2,a1,CC_BY_SA_3, Offene Bibel e.V. - offene-bibel.de,https://offene-bibel.de/wiki/Genesis_1_in_Leichter_Sprache,https://offene-bibel.de/wiki/Genesis_1,Genesis_1_in_Leichter_Sprache,Genesis_1,2021-01-08,2,1:3,0,0,0 days 00:00:00,1.0,1.0,4.0,4.0,2.0,1.0,2.0,0.0,4.0,1.0,3.0,4.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Gott sah, dass die Helligkeit gut war.",Gott schaute herum: Und Gott war zufrieden.,33-1-1-2,33-0-8-0,33,bible,bible_verified,c2,a1,CC_BY_SA_3, Offene Bibel e.V. - offene-bibel.de,https://offene-bibel.de/wiki/Genesis_1_in_Leichter_Sprache,https://offene-bibel.de/wiki/Genesis_1,Genesis_1_in_Leichter_Sprache,Genesis_1,2021-01-08,2,1:1,0,0,0 days 00:00:00,1.0,1.0,4.0,4.0,2.0,2.0,0.0,0.0,2.0,1.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Es wurde Abend und es wurde Morgen: Ein fünfter Tag.,Es wurde Abend. Und es wurde Morgen. Der 5. Tag war zu Ende.,33-1-5-4,33-0-71-0|33-0-72-0|33-0-73-0,33,bible,bible_verified,c2,a1,CC_BY_SA_3, Offene Bibel e.V. - offene-bibel.de,https://offene-bibel.de/wiki/Genesis_1_in_Leichter_Sprache,https://offene-bibel.de/wiki/Genesis_1,Genesis_1_in_Leichter_Sprache,Genesis_1,2021-01-08,2,1:3,0,0,0 days 00:00:00,1.0,1.0,3.0,3.0,2.0,2.0,1.0,0.0,5.0,0.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"Gott machte verschiedenste Arten von wilden Tieren, verschiedenste Arten von Vieh und all die verschiedenen Arten von Reptilien.",Gott machte alle die vielen verschiedenen Tiere.,33-1-6-2,33-0-78-0,33,bible,bible_verified,c2,a1,CC_BY_SA_3, Offene Bibel e.V. - offene-bibel.de,https://offene-bibel.de/wiki/Genesis_1_in_Leichter_Sprache,https://offene-bibel.de/wiki/Genesis_1,Genesis_1_in_Leichter_Sprache,Genesis_1,2021-01-08,2,1:1,0,0,0 days 00:00:00,1.0,1.0,4.0,3.0,2.0,2.0,-1.0,0.0,4.0,1.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Weiterhin sprach Gott: Die Erde soll auf Erden Grünes grünen lassen: Samen tragendes Getreide und verschiedenste Arten von Frucht tragenden Fruchtbäumen, die deren Früchte ihren Samen in sich haben.","Es ging weiter: Gott sagte: Auf der Erde soll es grün und bunt werden. Korn soll wachsen. Aus dem Korn macht man Brot. Bäume wachsen, Bäume sollen wachsen. An den Bäumen soll Obst wachsen.",33-1-3-4,33-0-31-0|33-0-32-0|33-0-33-0|33-0-34-0|33-0-35-0|33-0-36-0,33,bible,bible_verified,c2,a1,CC_BY_SA_3, Offene Bibel e.V. - offene-bibel.de,https://offene-bibel.de/wiki/Genesis_1_in_Leichter_Sprache,https://offene-bibel.de/wiki/Genesis_1,Genesis_1_in_Leichter_Sprache,Genesis_1,2021-01-08,2,1:6,0,0,0 days 00:00:00,1.0,1.0,4.0,4.0,2.0,2.0,1.0,1.0,5.0,2.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sie waren Efratiter aus Betlehem in Juda. Und so kamen sie ins Gebiet von nach Moab und blieben dort.,Sie kommen aus Bethlehem und ziehen nach Moab.,35-1-0-3|35-1-0-4,35-0-10-0,35,bible,bible_verified,c2,a1,CC_BY_SA_3, Offene Bibel e.V. - offene-bibel.de,"https://offene-bibel.de/wiki/Rut_1,1-6_in_Leichter_Sprache",https://offene-bibel.de/wiki/Rut_1,"Rut_1,1-6_in_Leichter_Sprache",Rut_1,2021-01-08,2,2:1,0,0,0 days 00:00:00,1.0,1.0,2.0,2.0,0.0,2.0,-1.0,0.0,5.0,1.0,2.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
